host,ra,dec,id,period,color,mag,mag_err,offset,bias,phase,metallicity,flag,src
NIC-POS5,184.74252,47.34238,2686,44.05,1.06,21.57,0.19,0.28,0.05,0.1,8.88,,1m
NIC-POS6,184.83891,47.17151,107069,83.4,1.58,20.56,0.25,0.06,0.01,-0.1,8.67,,1m
NIC-POS7,184.85593,47.16107,104251,33.29,1.04,22.56,0.18,0.03,0.01,-0.13,8.64,,1m
NIC-POS8,184.7999,47.20616,220789,21.29,1.04,23.31,0.19,0.35,0.04,0.16,8.77,,1m
NIC-POS8,184.79992,47.20734,220887,31.29,1.26,22.7,0.18,0.15,0,-0.14,8.77,,1m
NIC-POS8,184.80002,47.20401,220576,101.9,1.92,20.22,0.25,0.11,0.01,-0.02,8.76,,1m
OUT-NIC-02,184.81866,47.19866,34729,14.92,1.12,23.44,0.23,0.22,0.07,-0.01,8.75,,1m
OUT-NIC-04,184.83594,47.22012,28606,53.88,1.03,21.76,0.18,0.25,0.03,0.09,8.76,,1m
OUT-NIC-05,184.83415,47.1903,21109,8.503,0.86,23.98,0.27,8.81,0.34,0.04,8.72,,1m
OUT-NIC-06,184.83914,47.17078,12705,9.942,0.84,24.23,0.25,0.31,0.07,-0.08,8.67,,1m
OUT-NIC-06,184.83644,47.17427,14709,10.97,0.84,23.68,0.22,0.42,0,0.1,8.68,,1m
OUT-NIC-06,184.8353,47.17378,15276,16.43,0.87,23.62,0.21,0.62,0.03,-0.07,8.68,,1m
OUT-NIC-07,184.83867,47.19483,19312,13.55,0.82,23.32,0.21,0.52,0.07,-0.08,8.72,,1m
OUT-NIC-08,184.8503,47.19245,11990,8.024,0.65,23.78,0.22,0.34,0.09,0.1,8.71,,1m
OUT-NIC-09,184.85468,47.16904,5713,31.74,0.96,22.41,0.18,0.14,0.02,-0.15,8.66,,1m
OUT-NIC-IO,184.85857,47.20057,9786,8.92,0.72,23.85,0.24,0.28,0.14,-0.05,8.7,,1m
OUT-NIC-13,184.83969,47.1817,14656,8.779,0.8,24.23,0.35,1.52,0.06,0.03,8.7,,1m
